0, 0, 0,
0, 1, 0,
0, 2, 0,
0, 3, 0,

1, 0, -1,
1, 1, -1,
1, 2, -1,
1, 3, -1,

2, 0, -2,
2, 1, -2,
2, 2, -2,
2, 3, -2,


3, -1, -2,
3, 0, -2,
3, 1, -2,
3, 2, -2,

4, -2, -2,
4, -1, -2,

4, -2, -3,
4, -1, -3,
4, 0, -3,
4, 1, -3,
4, 2, -3,
4, 3, -3,

5, -2, -2,

5, -2, -3,
5, -1, -3,
5, 0, -3,
5, 2, -3,

5, 0, -4,
5, 1, -4,
5, 2, -4,
5, 3, -4,
5, 4, -4,
5, 5, -4,

6, 0, -4,
6, 1, -4,
6, 3, -4,

7, 1, -4,
7, 2, -4,

7, 0, -5,
7, 1, -5,
7, 2, -5,
7, 3, -5,
7, 4, -5,

8, 0, -5,

8, 2, -5,
8, 3, -5,
8, 4, -5,
8, 5, -5,

9, 3, -5,
9, 4, -5,
9, 5, -5,
9, 6, -5,
9, 7, -5,

10, 5, -5,
11, 5, -5,
12, 5, -5,

10, 7, -5,
10, 8, -5,

11, 8, -5,

11, 5, -6,
11, 6, -6,
11, 7, -6,
11, 8, -6,

12, 5, -6,
12, 6, -6,
12, 7, -6,
12, 8, -6,

13, 5, -6,
13, 6, -6,

14, 6, -6,
15, 6, -6,
16, 6, -6,

14, 5, -6,

14, 4, -7,
14, 5, -7,
14, 6, -7,
14, 7, -7,
14, 8, -7,

15, 4, -7,
15, 5, -7,
15, 6, -7,
15, 7, -7,
15, 8, -7,

16, 4, -7,
16, 5, -7,
16, 6, -7,
16, 7, -7,
16, 8, -7,

17, 4, -8,
17, 5, -8,
17, 6, -8,
17, 7, -8,
17, 8, -8,

18, 4, -8,
18, 5, -8,
18, 6, -8,
18, 7, -8,
18, 8, -8,

19, 4, -8,
19, 5, -8,
19, 6, -8,
19, 7, -8,
19, 8, -8,

20, 4, -8,
20, 5, -8,
20, 6, -8,
20, 7, -8,
20, 8, -8,

21, 6, -8, 4
